bmi,goal,meal_time,recommendation
25,maintenance,dinner,roti_vegetables
24,maintenance,dinner,vegetable_soup
34,weight_loss,dinner,soup_salad
26,maintenance,breakfast,muesli_milk
18,muscle_gain,breakfast,paneer_paratha
24,maintenance,lunch,dal_roti
37,weight_loss,breakfast,chia_pudding
27,maintenance,lunch,dal_roti
25,maintenance,breakfast,muesli_milk
23,maintenance,dinner,cottage_cheese_salad
34,weight_loss,breakfast,oats_green_tea
19,muscle_gain,lunch,chicken_rice
25,maintenance,lunch,mixed_veg_curry_rice
23,muscle_gain,breakfast,peanut_butter_toast
26,maintenance,lunch,quinoa_bowl
24,maintenance,dinner,cottage_cheese_salad
22,maintenance,dinner,tofu_stir_fry
23,maintenance,dinner,vegetable_soup
32,weight_loss,lunch,vegetable_dalia
32,weight_loss,breakfast,fruit_bowl
27,maintenance,breakfast,muesli_milk
26,maintenance,dinner,tofu_stir_fry
27,maintenance,lunch,chickpea_salad
37,weight_loss,lunch,grilled_chicken_salad
20,muscle_gain,lunch,turkey_sandwich
26,maintenance,dinner,baked_fish_veggies
40,weight_loss,dinner,soup_salad
27,maintenance,breakfast,muesli_milk
23,muscle_gain,dinner,paneer_roti
24,maintenance,dinner,baked_fish_veggies
18,muscle_gain,breakfast,oatmeal_protein_shake
31,weight_loss,dinner,moong_dal_chilla
33,weight_loss,breakfast,oats_green_tea
38,weight_loss,dinner,boiled_vegetables
17,muscle_gain,dinner,tofu_steak_rice
23,maintenance,dinner,tofu_stir_fry
38,weight_loss,breakfast,fruit_bowl
40,weight_loss,breakfast,fruit_bowl
26,maintenance,dinner,vegetable_soup
29,weight_loss,dinner,moong_dal_chilla
33,weight_loss,dinner,boiled_vegetables
35,weight_loss,breakfast,black_coffee_omelette
18,muscle_gain,dinner,grilled_chicken_sweet_potato
17,muscle_gain,dinner,grilled_chicken_sweet_potato
25,maintenance,lunch,mixed_veg_curry_rice
29,weight_loss,dinner,moong_dal_chilla
23,muscle_gain,dinner,grilled_chicken_sweet_potato
34,weight_loss,breakfast,boiled_eggs_spinach
40,weight_loss,breakfast,chia_pudding
30,weight_loss,lunch,grilled_chicken_salad
23,maintenance,lunch,mixed_veg_curry_rice
30,weight_loss,lunch,grilled_chicken_salad
22,maintenance,breakfast,avocado_toast
29,weight_loss,breakfast,fruit_bowl
22,muscle_gain,lunch,chicken_rice
26,maintenance,breakfast,oats_fruits
35,weight_loss,lunch,salad_chicken
20,muscle_gain,breakfast,paneer_paratha
19,muscle_gain,lunch,lentils_quinoa
19,muscle_gain,lunch,turkey_sandwich
26,maintenance,dinner,vegetable_soup
20,muscle_gain,dinner,paneer_roti
21,muscle_gain,dinner,paneer_roti
26,maintenance,lunch,rice_dal_salad
25,maintenance,dinner,cottage_cheese_salad
32,weight_loss,breakfast,oats_green_tea
20,muscle_gain,lunch,chicken_rice
34,weight_loss,dinner,soup_salad
22,maintenance,dinner,vegetable_soup
24,maintenance,dinner,roti_vegetables
40,weight_loss,breakfast,fruit_bowl
17,muscle_gain,breakfast,greek_yogurt_nuts
38,weight_loss,breakfast,black_coffee_omelette
23,maintenance,lunch,mixed_veg_curry_rice
25,maintenance,dinner,tofu_stir_fry
23,maintenance,dinner,baked_fish_veggies
20,muscle_gain,lunch,chicken_rice
22,muscle_gain,lunch,paneer_pulao
38,weight_loss,lunch,grilled_chicken_salad
22,muscle_gain,dinner,grilled_chicken_sweet_potato
37,weight_loss,dinner,moong_dal_chilla
