calories,protein,fat,carbs,bmi,goal,recommendation
1060,135,31,130,17.2,maintenance,unhealthy
1494,175,90,220,23.2,muscle_gain,excellent
1330,104,90,271,34.4,maintenance,unhealthy
1295,133,21,67,27.0,maintenance,unhealthy
1838,61,74,52,33.8,maintenance,unhealthy
2369,148,58,206,29.2,weight_loss,unhealthy
666,55,12,81,17.5,weight_loss,excellent
1438,116,57,100,18.4,weight_loss,unhealthy
530,108,9,46,30.0,weight_loss,excellent
1682,131,73,246,27.0,muscle_gain,excellent
2335,59,51,163,19.3,maintenance,unhealthy
330,5,78,179,28.1,weight_loss,unhealthy
1885,94,44,281,31.6,muscle_gain,excellent
969,160,11,119,30.6,weight_loss,balanced
1715,57,16,160,21.4,muscle_gain,excellent
1415,77,98,140,21.6,weight_loss,unhealthy
1155,112,29,277,34.4,weight_loss,unhealthy
1384,154,32,32,33.0,maintenance,unhealthy
659,12,47,148,22.7,weight_loss,unhealthy
221,46,81,248,31.8,weight_loss,unhealthy
947,159,51,201,19.9,muscle_gain,excellent
674,171,53,136,20.5,maintenance,balanced
1282,29,90,38,20.3,maintenance,unhealthy
2247,42,58,130,18.6,muscle_gain,excellent
1175,89,22,207,32.4,weight_loss,unhealthy
2006,156,31,183,27.4,muscle_gain,excellent
389,28,76,153,21.7,weight_loss,unhealthy
762,64,10,188,32.3,weight_loss,excellent
2099,115,79,20,31.4,maintenance,unhealthy
1467,70,97,148,18.8,weight_loss,unhealthy
1728,146,73,262,28.6,maintenance,unhealthy
846,57,75,28,30.0,maintenance,balanced
2268,164,26,169,29.9,muscle_gain,excellent
2414,110,63,131,30.0,weight_loss,unhealthy
1497,100,51,81,20.1,muscle_gain,excellent
800,43,72,64,22.7,muscle_gain,excellent
2261,172,36,178,32.2,muscle_gain,excellent
441,46,87,108,33.2,muscle_gain,excellent
2241,115,5,79,22.0,maintenance,unhealthy
1563,108,58,158,17.4,maintenance,unhealthy
2339,81,50,126,32.5,maintenance,unhealthy
1590,12,45,35,23.8,maintenance,unhealthy
1678,30,45,257,22.9,weight_loss,unhealthy
975,144,12,218,23.2,maintenance,balanced
234,47,36,236,24.5,weight_loss,balanced
2453,114,34,123,23.8,muscle_gain,excellent
2155,104,50,203,27.2,weight_loss,unhealthy
1785,67,96,19,18.4,maintenance,unhealthy
1221,53,56,104,34.5,maintenance,unhealthy
1329,119,93,130,33.9,maintenance,unhealthy
1700,159,65,135,33.8,muscle_gain,excellent
902,141,17,46,32.8,muscle_gain,excellent
1779,171,93,78,28.9,maintenance,unhealthy
361,69,44,183,21.0,muscle_gain,healthy
401,75,65,54,17.9,weight_loss,unhealthy
2181,11,48,132,18.8,weight_loss,unhealthy
